sse_addr,comments
1400F71A0,TESForm::LoadPartial_1400F71A0
1400F71F0,TESForm::QAvailableInGame_1400F71F0
1400F7200,TESForm::QHasCurrents_1400F7200
1400F7210,GetDefaultObjectManager_1400F7210
1400F72A0,TESForm::QIsLODLandObject_1400F72A0
1400F72D0,BGSEquipType::SetEquipSlot_1400F72D0
1400F72E0,TESForm::SetEditorId_1400F72E0
1400F7520,BGSDualCastData::ReadFromFileStream_1400F7520
1400F7660,BGSDualCastData::InitializeAfterAllFormsAreReadFromFile_1400F7660
1400F7A90,ConcreteFormFactory_BGSDualCastData_129_::dtor_1400F7A90
1400F7AF0,ConcreteObjectFormFactory_BGSDualCastData_129_95_2_::dtor_1400F7AF0
1400F7B50,BGSDualCastData::dtor_1400F7B50
1400F7C90,ConcreteFormFactory_BGSDualCastData_129_::CreateImpl_1400F7C90
1400F7D20,ConcreteFormFactory_BGSDualCastData_129_::GetFormType_1400F7D20
1400F7D30,ConcreteFormFactory_BGSDualCastData_129_::GetFormName_1400F7D30
1400F7D40,ConcreteObjectFormFactory_BGSDualCastData_129_95_2_::GetObjectCategory_1400F7D40
1400F7D50,ConcreteObjectFormFactory_BGSDualCastData_129_95_2_::GetObjectName_1400F7D50
1400F7D60,ConcreteObjectFormFactory_BGSDualCastData_129_95_2_::GetObjectType_1400F7D60
1400F7D70,TESObject::IsAutoCalc_1400F7D70
1400F7D80,TESForm::IsMagicItem_1400F7D80
1400F89E0,TempLoadGameBuffer::sub_1400F89E0
1400F9390,BSTCaseInsensitiveStringMap_gs_T1_ge_::sub_1400F9390
1400F93D0,NiTMap_char__Setting__::dtor_1400F93D0
1400F9440,NiTMapBase_DFALL_NiTMapItem_char__Setting____char__Setting__::dtor_1400F9440
1400F94E0,NiTStringTemplateMap_gs_T1_T2_ge_::sub_1400F94E0
1400F9520,SettingCollection_Setting_::dtor_1400F9520
1400F9550,SettingCollectionMap_Setting_::dtor_1400F9550
1400F95E0,SettingT_GameSettingCollection_::dtor_1400F95E0
1400F9650,GameSettingCollection::dtor_1400F9650
1400F96E0,Setting::dtor_1400F96E0
1400F9720,SettingCollectionMap_Setting_::InsertSetting_1400F9720
1400F98F0,SettingCollection_Setting_::CloseHandle_1400F98F0
1400F9960,NiTMap_char__Setting__::free_value_1400F9960
1400F9A10,BSTCaseInsensitiveStringMap_gs_T1_ge_::sub_1400F9A10
1400F9A30,NiTMapBase_DFALL_NiTMapItem_char__Setting____char__Setting__::key_eq_1400F9A30
1400F9A60,BSTCaseInsensitiveStringMap_gs_T1_ge_::sub_1400F9A60
1400F9AC0,NiTMapBase_DFALL_NiTMapItem_char__Setting____char__Setting__::hash_function_1400F9AC0
1400F9B00,NiTMap_char__Setting__::malloc_value_1400F9B00
1400F9B40,SettingCollection_Setting_::OpenHandle_1400F9B40
1400F9B80,SettingCollection_Setting_::Func9_1400F9B80
1400F9B90,SettingCollectionMap_Setting_::Func9_1400F9B90
1400F9CA0,SettingCollection_Setting_::Func7_1400F9CA0
1400F9CB0,SettingCollectionMap_Setting_::RemoveSetting_1400F9CB0
1400FA040,BSTCaseInsensitiveStringMap_Setting__::sub_1400FA040
1400FA140,NiTMapBase_DFALL_NiTMapItem_char__Setting____char__Setting__::assign_value_1400FA140
1400FA260,SettingCollection_Setting_::Func8_1400FA260
1400FA270,SettingCollectionMap_Setting_::Func8_1400FA270
1400FA650,EffectSetting::ReadFromFileStream_1400FA650
1400FABA0,EffectSetting::InitializeAfterAllFormsAreReadFromFile_1400FABA0
1400FB240,EffectSetting::Copy_1400FB240
1400FB530,EffectSetting::ClearData_1400FB530
1400FB8D0,EffectSetting::GetObjectTypeName_1400FB8D0
1400FB930,EffectSetting::sub_1400FB930
1400FB950,BGSKeywordForm::HasKeyword_1400FB950
1400FB9B0,EffectSetting::sub_1400FB9B0
1400FBA60,EffectSetting::sub_1400FBA60
1400FBA90,EffectSetting::sub_1400FBA90
1400FBAC0,EffectSetting::GetEffectShader_1400FBAC0
1400FBB40,EffectSetting::sub_1400FBB40
1400FBB70,EffectSetting::sub_1400FBB70
1400FBC30,EffectSetting::sub_1400FBC30
1400FBC60,EffectSetting::sub_1400FBC60
1400FCC00,j_BSFixedString::Release_1400FCC00
1400FCC44,TESFullName::dtor_1400FCC44
1400FCC50,BGSMenuDisplayObject::dtor_1400FCC50
1400FCC5C,BGSKeywordForm::dtor_1400FCC5C
1400FCC70,BSTArrayAllocatorFunctor_BSTArrayHeapAllocator_::dtor_1400FCC70
1400FCCA0,ConcreteFormFactory_EffectSetting_18_::dtor_1400FCCA0
1400FCD00,ConcreteObjectFormFactory_EffectSetting_18_67_2_::dtor_1400FCD00
1400FCD60,EffectSetting::dtor_1400FCD60
1400FCDA0,BSTArrayBase__IAllocatorFunctor::dtor_1400FCDA0
1400FCDD0,TESFullName::dtor_1400FCDD0
1400FCE20,TESForm::Activate_1400FCE20
1400FCEE0,BSTArrayAllocatorFunctor_BSTArrayHeapAllocator_::Allocate_1400FCEE0
1400FCEF0,ConcreteFormFactory_EffectSetting_18_::CreateImpl_1400FCEF0
1400FCF50,BSTArrayAllocatorFunctor_BSTArrayHeapAllocator_::Free_1400FCF50
1400FCF60,BGSKeywordForm::GetDefaultKeyword_1400FCF60
1400FCF70,ConcreteFormFactory_EffectSetting_18_::GetFormType_1400FCF70
1400FCF80,ConcreteFormFactory_EffectSetting_18_::GetFormName_1400FCF80
1400FCF90,BGSMenuDisplayObject::Func4_1400FCF90
1400FCFA0,ConcreteObjectFormFactory_EffectSetting_18_67_2_::GetObjectCategory_1400FCFA0
1400FCFB0,ConcreteObjectFormFactory_EffectSetting_18_67_2_::GetObjectName_1400FCFB0
1400FCFC0,ConcreteObjectFormFactory_EffectSetting_18_67_2_::GetObjectType_1400FCFC0
1400FCFD0,TESForm::GetRefCount_1400FCFD0
1400FD020,TESForm::Has3D_1400FD020
1400FD030,TESForm::IsObject_1400FD030
1400FD050,BSTArrayAllocatorFunctor_BSTArrayHeapAllocator_::Resize_1400FD050
1400FD9D0,EffectSetting::sub_1400FD9D0
1400FDA80,EffectSetting::sub_1400FDA80
1400FDFD0,MagicItem::sub_1400FDFD0
1400FE020,EnchantmentItem::InitializeData_1400FE020
1400FE080,EnchantmentItem::ClearData_1400FE080
1400FE090,EnchantmentItem::InitializeAfterAllFormsAreReadFromFile_1400FE090
1400FE170,EnchantmentItem::sub_1400FE170
1400FE410,EnchantmentItem::SetCastingType_1400FE410
1400FE430,EnchantmentItem::SetDelivery_1400FE430
1400FE470,EnchantmentItem::GetChargeTime_1400FE470
1400FE5E0,MagicItem::sub_1400FE5E0
1400FE630,EnchantmentItem::InitFromChunk_1400FE630
1400FE650,EnchantmentItem::CopyMagicItemData_1400FE650
1400FE6E0,EnchantmentItem::InitChunk_1400FE6E0
1400FE9E4,TESFullName::dtor_1400FE9E4
1400FE9F0,BGSKeywordForm::dtor_1400FE9F0
1400FEA90,ConcreteFormFactory_EnchantmentItem_21_::dtor_1400FEA90
1400FEAF0,ConcreteObjectFormFactory_EnchantmentItem_21_16_2_::dtor_1400FEAF0
1400FEB50,EnchantmentItem::dtor_1400FEB50
1400FEBC0,ConcreteFormFactory_EnchantmentItem_21_::CreateImpl_1400FEBC0
1400FEC20,EnchantmentItem::GetAssociatedSkill_1400FEC20
1400FEC30,EnchantmentItem::GetCastingType_1400FEC30
1400FEC40,EnchantmentItem::GetChunkID_1400FEC40
1400FEC50,EnchantmentItem::GetData2_1400FEC50
1400FEC60,EnchantmentItem::GetData1_1400FEC60
1400FEC70,EnchantmentItem::GetDataSize_1400FEC70
1400FEC80,EnchantmentItem::GetDelivery_1400FEC80
1400FEC90,ConcreteFormFactory_EnchantmentItem_21_::GetFormType_1400FEC90
1400FECA0,ConcreteFormFactory_EnchantmentItem_21_::GetFormName_1400FECA0
1400FECB0,ConcreteObjectFormFactory_EnchantmentItem_21_16_2_::GetObjectCategory_1400FECB0
1400FECC0,ConcreteObjectFormFactory_EnchantmentItem_21_16_2_::GetObjectName_1400FECC0
1400FECD0,ConcreteObjectFormFactory_EnchantmentItem_21_16_2_::GetObjectType_1400FECD0
1400FECE0,EnchantmentItem::GetSpellType_1400FECE0
1400FECF0,MagicItem::IsMedicine_1400FECF0
1400FED00,MagicItem::IsPoison_1400FED00
1400FED20,EnchantmentItem::sub_1400FED20
1400FEEE0,IngredientItem::sub_1400FEEE0
1400FF030,IngredientItem::InitializeData_1400FF030
1400FF050,IngredientItem::ClearData_1400FF050
1400FF080,IngredientItem::InitializeAfterAllFormsAreReadFromFile_1400FF080
1400FF0F0,BGSKeywordForm::GetDefaultKeyword_1400FF0F0
1400FF120,IngredientItem::sub_1400FF120
1400FF1F0,IngredientItem::sub_1400FF1F0
1400FF4E0,BGSSaveGameBuffer::sub_1400FF4E0
1400FF540,BGSLoadGameBuffer::sub_1400FF540
1400FF7F0,IngredientItem::WriteToSaveGame_1400FF7F0
1400FF840,IngredientItem::ReadFromSaveGame_1400FF840
1400FF890,IngredientItem::Revert_1400FF890
1400FF8D0,IngredientItem::GetSkillUsageData_1400FF8D0
1400FF970,IngredientItem::InitFromChunk_1400FF970
1400FF9E0,IngredientItem::LoadMagicItemChunk_1400FF9E0
1400FFC70,IngredientItem::CopyMagicItemData_1400FFC70
1400FFCA0,IngredientItem::InitChunk_1400FFCA0
1400FFE54,BGSPickupPutdownSounds::dtor_1400FFE54
1400FFE60,TESValueForm::dtor_1400FFE60
1400FFE6C,TESFullName::dtor_1400FFE6C
1400FFE78,BGSKeywordForm::dtor_1400FFE78
1400FFE84,TESModelTextureSwap::dtor_1400FFE84
1400FFE90,TESIcon::dtor_1400FFE90
1400FFE9C,TESWeightForm::dtor_1400FFE9C
1400FFEA8,BGSEquipType::dtor_1400FFEA8
1400FFEB4,BGSDestructibleObjectForm::dtor_1400FFEB4
1400FFEC0,ConcreteFormFactory_IngredientItem_30_::dtor_1400FFEC0
1400FFF20,ConcreteObjectFormFactory_IngredientItem_30_5_1_::dtor_1400FFF20
1400FFF80,IngredientItem::dtor_1400FFF80
140100000,ConcreteFormFactory_IngredientItem_30_::CreateImpl_140100000
140100090,IngredientItem::GetAssociatedSkill_140100090
1401000A0,IngredientItem::GetCastingType_1401000A0
1401000B0,IngredientItem::GetChunkID_1401000B0
1401000C0,IngredientItem::GetData2_1401000C0
1401000D0,IngredientItem::GetData1_1401000D0
1401000E0,IngredientItem::GetDataSize_1401000E0
1401000F0,IngredientItem::GetDelivery_1401000F0
140100100,ConcreteFormFactory_IngredientItem_30_::GetFormType_140100100
140100110,ConcreteFormFactory_IngredientItem_30_::GetFormName_140100110
140100120,IngredientItem::GetMaxEffectCount_140100120
140100130,ConcreteObjectFormFactory_IngredientItem_30_5_1_::GetObjectCategory_140100130
140100140,ConcreteObjectFormFactory_IngredientItem_30_5_1_::GetObjectName_140100140
140100150,ConcreteObjectFormFactory_IngredientItem_30_5_1_::GetObjectType_140100150
140100160,IngredientItem::GetSpellType_140100160
140100170,IngredientItem::IsFood_140100170
140100580,MagicItem::InitializeData_140100580
140100590,MagicItem::sub_140100590
140100680,MagicItem::IsValidDelivery_140100680
140100690,MagicItem::GetFixedCastDuration_140100690
1401006A0,MagicItem::GetRange_1401006A0
140100780,SpellItem::sub_140100780
1401007F0,MagicItem::sub_1401007F0
140100820,MagicItem::IgnoresResistance_140100820
140100830,MagicItem::IgnoreLOS_140100830
140100840,MagicItem::IsFood_140100840
140100850,MagicItem::GetNoAbsorb_140100850
140100860,MagicItem::GetNoDualCastModifications_140100860
140100870,MagicItem::ReadFromFileStream_140100870
140100A60,MagicItem::Copy_140100A60
140100B30,MagicItem::InitializeAfterAllFormsAreReadFromFile_140100B30
140100BE0,EnchantmentItem::sub_140100BE0
140100DF0,MagicItem::sub_140100DF0
140100EE0,MagicItem::sub_140100EE0
1401010A0,SpellItem::sub_1401010A0
1401010C0,SpellItem::sub_1401010C0
1401010E0,SpellItem::sub_1401010E0
140101170,MagicItem::sub_140101170
1401013F0,MagicItem::GetSkillUsageData_1401013F0
140101400,EnchantmentItem::sub_140101400
1401015E0,SpellItem::sub_1401015E0
140101740,EnchantmentItem::sub_140101740
140101790,MagicItem::sub_140101790
140101850,SpellItem::sub_140101850
1401019B0,MagicItem::sub_1401019B0
140101A30,MagicItem::CalculateCost_140101A30
140101C40,SpellItem::sub_140101C40
140101CC0,MagiclItem::sub_140101CC0
140101D70,BGSKeywordForm::HasKeyword_140101D70
140101ED0,MagicItem::sub_140101ED0
140101F70,MagicItem::sub_140101F70
140102020,MagicItem::IsTwoHanded_140102020
140102030,SpellItem::sub_140102030
1401025D0,BSAutoQueuedResourceCollection_gs_T1_ge_::sub_1401025D0
1401026B0,GetCostliestEffectFunctor::Func1_1401026B0
1401026E0,LargestAreaFunctor::Func1_1401026E0
140102710,LongestDurationFunctor::Func1_140102710
140102770,BSResource__IEntryDB__PostFlushNotify::Func0_140102770
140102820,TESFullName::dtor_140102820
14010282C,BGSKeywordForm::dtor_14010282C
140102838,BSResource__IEntryDB__PostFlushNotify::Func0_140102838
140102844,BSResource__IEntryDB__PostFlushNotify::Func0_140102844
140102850,BSResource__IEntryDB__PostFlushNotify::Func0_140102850
14010285C,BSResource__IEntryDB__PostFlushNotify::Func0_14010285C
140102870,BSAutoQueuedResourceCollection_AnimationSystemUtils__TESModelAndAnimationHandles_::Func0_140102870
1401028F0,BSQueuedResourceCollection_gs_T1_T2_ge_::sub_1401028F0
140102940,FindEqualsFunctor::sub_140102940
140102970,FindNonExcludedDeliveryFunctor::sub_140102970
1401029A0,GetCostliestEffectFunctor::Func0_1401029A0
1401029D0,LargestAreaFunctor::Func0_1401029D0
140102A00,LongestDurationFunctor::Func0_140102A00
140102A30,MagicItem::dtor_140102A30
140102AA0,MagicItemFindKeywordFunctor::sub_140102AA0
140102AD0,MagicItemTraversalFunctor::Func0_140102AD0
140102B00,BSModelDB__QueuedHandles::sub_140102B00
140102B40,QueuedMagicItem::sub_140102B40
140102B90,AnimationSystemUtils__TESModelAndAnimationHandles::sub_140102B90
140102BE0,TESModelDB__TESQueuedHandles::sub_140102BE0
140102C70,BSQueuedResourceCollection_gs_T1_T2_ge_::sub_140102C70
140102D70,BSQueuedResourceCollection_gs_T1_T2_ge_::sub_140102D70
140102DE0,BSQueuedResourceCollection_gs_T1_T2_ge_::sub_140102DE0
140102F90,MagicItem::GetAssociatedSkill_140102F90
140103620,FindEqualsFunctor::sub_140103620
140103630,FindNonExcludedDeliveryFunctor::sub_140103630
140103660,MagicItemFindKeywordFunctor::sub_140103660
1401036A0,FreeRequestedModel_1401036A0
140103750,BSQueuedResourceCollection_gs_T1_T2_ge_::sub_140103750
1401037C0,PreloadCountVisitor::sub_1401037C0
1401037D0,PreloadModelsVisitor::sub_1401037D0
140103820,PreloadCountVisitor::sub_140103820
140103830,PreloadModelsVisitor::sub_140103830
140103890,BSResource__EntryDB_gs_T1_ge_::sub_140103890
140103C10,GetBoneNameForMagicNodeType_140103C10
140103C90,BGSEquipSlot::sub_140103C90
140103DD0,GetMagicCasterTargetUpdateInterval_140103DD0
140103DE0,GetHUDMessageForMagicFailedReason_140103DE0
140104960,GetMagicItemDescriptionFunctor::Func1_140104960
140104A50,GetMagicItemDescriptionFunctor::Func0_140104A50
140104AD0,GetBoneNames_140104AD0
140104D40,ScrollItem::GetSkillUsageData_140104D40
140104D50,ScrollItem::InitializeAfterAllFormsAreReadFromFile_140104D50
140104DB0,ScrollItem::GetSpellType_140104DB0
140104DC0,ScrollItem::GetCastingType_140104DC0
140104DD0,ScrollItem::GetAssociatedSkill_140104DD0
140104DE0,ScrollItem::LoadMagicItemChunk_140104DE0
140104FE4,BGSDestructibleObjectForm::dtor_140104FE4
140104FF0,BGSPickupPutdownSounds::dtor_140104FF0
140104FFC,TESWeightForm::dtor_140104FFC
140105008,TESValueForm::dtor_140105008
140105014,TESFullName::dtor_140105014
140105020,BGSKeywordForm::dtor_140105020
14010502C,BGSEquipType::dtor_14010502C
140105038,BGSMenuDisplayObject::dtor_140105038
140105044,TESDescription::dtor_140105044
140105050,TESModelTextureSwap::dtor_140105050
140105060,ConcreteFormFactory_ScrollItem_23_::dtor_140105060
1401050C0,ConcreteObjectFormFactory_ScrollItem_23_100_2_::dtor_1401050C0
140105120,ScrollItem::dtor_140105120
1401051A0,ConcreteFormFactory_ScrollItem_23_::CreateImpl_1401051A0
140105200,SpellItem::GetChunkID_140105200
140105210,SpellItem::GetData2_140105210
140105220,SpellItem::GetData1_140105220
140105230,SpellItem::GetDataSize_140105230
140105240,SpellItem::GetDelivery_140105240
140105250,SpellItem::GetFixedCastDuration_140105250
140105280,ConcreteFormFactory_ScrollItem_23_::GetFormType_140105280
140105290,ConcreteFormFactory_ScrollItem_23_::GetFormName_140105290
1401052A0,ConcreteObjectFormFactory_ScrollItem_23_100_2_::GetObjectCategory_1401052A0
1401052B0,ConcreteObjectFormFactory_ScrollItem_23_100_2_::GetObjectName_1401052B0
1401052C0,ConcreteObjectFormFactory_ScrollItem_23_100_2_::GetObjectType_1401052C0
140105490,SpellItem::InitializeData_140105490
140105520,SpellItem::ClearData_140105520
140105530,SpellItem::InitializeAfterAllFormsAreReadFromFile_140105530
140105620,BGSMenuDisplayObject::Func4_140105620
140105630,SpellItem::IgnoresResistance_140105630
140105660,SpellItem::IgnoreLOS_140105660
140105690,SpellItem::GetNoAbsorb_140105690
1401056C0,SpellItem::GetNoDualCastModifications_1401056C0
1401056F0,SpellItem::SetCastingType_1401056F0
140105710,SpellItem::SetDelivery_140105710
140105750,SpellItem::GetAssociatedSkill_140105750
1401057D0,SpellItem::AdjustCost_1401057D0
140105850,SpellItem::GetSkillUsageData_140105850
140105940,SpellItem::GetChargeTime_140105940
140105A80,SpellItem::GetRange_140105A80
140105A90,SpellItem::IsTwoHanded_140105A90
140105AC0,SpellItem::InitFromChunk_140105AC0
140105AE0,SpellItem::LoadMagicItemChunk_140105AE0
140105BD0,SpellItem::LoadChunkDataPostProcess_140105BD0
140105BF0,SpellItem::CopyMagicItemData_140105BF0
140105C80,SpellItem::InitChunk_140105C80
140105EEC,TESFullName::dtor_140105EEC
140105EF8,BGSKeywordForm::dtor_140105EF8
140105F04,BGSEquipType::dtor_140105F04
140105F10,BGSMenuDisplayObject::dtor_140105F10
140105F1C,TESDescription::dtor_140105F1C
140105F30,ConcreteFormFactory_SpellItem_22_::dtor_140105F30
140105F90,ConcreteObjectFormFactory_SpellItem_22_15_2_::dtor_140105F90
140105FF0,SpellItem::dtor_140105FF0
140106030,ConcreteFormFactory_SpellItem_22_::CreateImpl_140106030
140106090,SpellItem::GetCastingType_140106090
1401060A0,ConcreteFormFactory_SpellItem_22_::GetFormType_1401060A0
1401060B0,ConcreteFormFactory_SpellItem_22_::GetFormName_1401060B0
1401060C0,ConcreteObjectFormFactory_SpellItem_22_15_2_::GetObjectCategory_1401060C0
1401060D0,ConcreteObjectFormFactory_SpellItem_22_15_2_::GetObjectName_1401060D0
1401060E0,ConcreteObjectFormFactory_SpellItem_22_15_2_::GetObjectType_1401060E0
1401060F0,SpellItem::GetSpellType_1401060F0
1401065A0,ExtraCell3D::GetExtraDataId_1401065A0
1401065E0,ExtraHavok::GetExtraDataId_1401065E0
1401065F0,ExtraRegionList::GetExtraDataId_1401065F0
140106670,ExtraEditorID::GetExtraDataId_140106670
140106680,ExtraProcessMiddleLow::GetExtraDataId_140106680
140106690,ExtraCellMusicType::IsEqual_140106690
1401066B0,ExtraCellMusicType::GetExtraDataId_1401066B0
1401066C0,ExtraCellAcousticSpace::IsEqual_1401066C0
1401066E0,ExtraCellAcousticSpace::GetExtraDataId_1401066E0
1401066F0,ExtraCellSkyRegion::IsEqual_1401066F0
140106710,ExtraCellSkyRegion::GetExtraDataId_140106710
140106720,ExtraCellImageSpace::IsEqual_140106720
140106740,ExtraCellImageSpace::GetExtraDataId_140106740
140106750,ExtraCellWaterType::IsEqual_140106750
140106770,ExtraCellWaterType::GetExtraDataId_140106770
1401067C0,ExtraSeenData::GetExtraDataId_1401067C0
1401067D0,ExtraNorthRotation::GetExtraDataId_1401067D0
1401067E0,ExtraDetachTime::GetExtraDataId_1401067E0
1401067F0,ExtraGIDBuffer::GetExtraDataId_1401067F0
140106810,ExtraHavok::sub_140106810
140106880,BSExtraData::dtor_140106880
1401068B0,ExtraEditorID::dtor_1401068B0
140106900,ExtraHavok::dtor_140106900
140106940,ExtraSeenData::dtor_140106940
140106A00,BSExtraData::IsEqual_140106A00
140106B50,BSExtraDataList::sub_140106B50
140106D60,BSExtraDataList::dtor_impl_140106D60
140107090,BSExtraDataList::AddExtraDataWithoutLocking_140107090
140107180,BSExtraDataList::RemoveExtraDataWithoutLocking_140107180
1401072C0,BSExtraDataList::RemoveExtraDataByTypeWithoutLocking_1401072C0
140107480,BSExtraDataList::GetExtraDataWithoutLocking_140107480
140107590,BSExtraDataList::GetPreviousExtraDataToTypeWithoutLocking_140107590
140107620,BSExtraDataList::GetCountOfExtraDataEntries_140107620
140107650,BSExtraDataList::HasExtraData_Unsafe_140107650
140107690,BSExtraDataList::ctor_140107690
1401076D0,BSExtraDataList::dtor_impl_1401076D0
14010DAE0,BSExtraDataList::SetOwnerForm_14010DAE0
14010DE90,BSExtraDataList::SetWorn_14010DE90
14010E570,BSExtraDataList::SetCount_14010E570
14010E800,BSExtraDataList::SetCharge_14010E800
14010E960,BSExtraDataList::SetSoul_14010E960
14010EBD0,BSExtraDataList::SetScale_14010EBD0
14010F5C0,BSExtraDataList::AddOrSetExtraContainerChangesData_14010F5C0
1401126A0,BSExtraDataList::sub_1401126A0
140112700,BSExtraDataList::SetHeadingTargetRefHandle_140112700
1401128A0,BSExtraDataList::GetHeadingTargetRefHandleId_1401128A0
140112920,BSExtraDataList::sub_140112920
140112C90,BSExtraDataList::GetOriginalReferenceRefHandle_140112C90
140112F40,BSExtraDataList::GetLight_140112F40
140112FB0,BSExtraDataList::GetLockData_140112FB0
140113020,BSExtraDataList::sub_140113020
140113090,BSExtraDataList::GetMapMarkerData_140113090
1401131E0,BSExtraDataList::GetOwner_1401131E0
1401133A0,BSExtraDataList::IsWorn_1401133A0
1401137B0,BSExtraDataList::GetCount_1401137B0
140113890,BSExtraDataList::GetCharge_140113890
140113900,BSExtraDataList::GetSoul_140113900
140113E20,BSExtraDataList::GetContainerChanges_140113E20
140113F80,BSExtraDataList::sub_140113F80
1401164D0,BSExtraDataList::SetCellWaterType_1401164D0
